contract_id,proposal_id,customer_id,installment_number,due_date,amount_due
CT0000003,PR000007,C00411,24,2026-04-30,1105.61
CT0000004,PR000008,C00196,1,2025-10-16,344.69
CT0000004,PR000008,C00196,2,2025-11-16,344.69
CT0000004,PR000008,C00196,3,2025-12-16,344.69
CT0000004,PR000008,C00196,4,2026-01-16,344.69
CT0000004,PR000008,C00196,5,2026-02-16,344.69
CT0000004,PR000008,C00196,6,2026-03-16,344.69
CT0000004,PR000008,C00196,7,2026-04-16,344.69
CT0000004,PR000008,C00196,8,2026-05-16,344.69
CT0000004,PR000008,C00196,9,2026-06-16,344.69
CT0000004,PR000008,C00196,10,2026-07-16,344.69
CT0000004,PR000008,C00196,11,2026-08-16,344.69
CT0000004,PR000008,C00196,12,2026-09-16,344.69
CT0000004,PR000008,C00196,13,2026-10-16,344.69
CT0000004,PR000008,C00196,14,2026-11-16,344.69
CT0000004,PR000008,C00196,15,2026-12-16,344.69
CT0000004,PR000008,C00196,16,2027-01-16,344.69
CT0000004,PR000008,C00196,17,2027-02-16,344.69
CT0000004,PR000008,C00196,18,2027-03-16,344.69
CT0000004,PR000008,C00196,19,2027-04-16,344.69
CT0000004,PR000008,C00196,20,2027-05-16,344.69
CT0000004,PR000008,C00196,21,2027-06-16,344.69
CT0000004,PR000008,C00196,22,2027-07-16,344.69
CT0000004,PR000008,C00196,23,2027-08-16,344.69
CT0000004,PR000008,C00196,24,2027-09-16,344.69
CT0000005,PR000009,C00040,1,2025-06-01,2350.68
CT0000005,PR000009,C00040,2,2025-07-01,2350.68
CT0000005,PR000009,C00040,3,2025-08-01,2350.68
CT0000005,PR000009,C00040,4,2025-09-01,2350.68
CT0000005,PR000009,C00040,5,2025-10-01,2350.68
CT0000005,PR000009,C00040,6,2025-11-01,2350.68
CT0000005,PR000009,C00040,7,2025-12-01,2350.68
CT0000005,PR000009,C00040,8,2026-01-01,2350.68
CT0000005,PR000009,C00040,9,2026-02-01,2350.68
CT0000005,PR000009,C00040,10,2026-03-01,2350.68
CT0000005,PR000009,C00040,11,2026-04-01,2350.68
CT0000005,PR000009,C00040,12,2026-05-01,2350.68
CT0000006,PR000010,C00025,1,2025-09-17,982.65
CT0000006,PR000010,C00025,2,2025-10-17,982.65
CT0000006,PR000010,C00025,3,2025-11-17,982.65
CT0000006,PR000010,C00025,4,2025-12-17,982.65
CT0000006,PR000010,C00025,5,2026-01-17,982.65
CT0000006,PR000010,C00025,6,2026-02-17,982.65
CT0000006,PR000010,C00025,7,2026-03-17,982.65
CT0000006,PR000010,C00025,8,2026-04-17,982.65
CT0000006,PR000010,C00025,9,2026-05-17,982.65
CT0000006,PR000010,C00025,10,2026-06-17,982.65
CT0000006,PR000010,C00025,11,2026-07-17,982.65
CT0000006,PR000010,C00025,12,2026-08-17,982.65
CT0000006,PR000010,C00025,13,2026-09-17,982.65
CT0000006,PR000010,C00025,14,2026-10-17,982.65
CT0000006,PR000010,C00025,15,2026-11-17,982.65
CT0000006,PR000010,C00025,16,2026-12-17,982.65
CT0000006,PR000010,C00025,17,2027-01-17,982.65
CT0000006,PR000010,C00025,18,2027-02-17,982.65
CT0000006,PR000010,C00025,19,2027-03-17,982.65
CT0000006,PR000010,C00025,20,2027-04-17,982.65
CT0000006,PR000010,C00025,21,2027-05-17,982.65
CT0000006,PR000010,C00025,22,2027-06-17,982.65
CT0000006,PR000010,C00025,23,2027-07-17,982.65
CT0000006,PR000010,C00025,24,2027-08-17,982.65
CT0000006,PR000010,C00025,25,2027-09-17,982.65
CT0000006,PR000010,C00025,26,2027-10-17,982.65
CT0000006,PR000010,C00025,27,2027-11-17,982.65
CT0000006,PR000010,C00025,28,2027-12-17,982.65
CT0000006,PR000010,C00025,29,2028-01-17,982.65
CT0000006,PR000010,C00025,30,2028-02-17,982.65
CT0000006,PR000010,C00025,31,2028-03-17,982.65
CT0000006,PR000010,C00025,32,2028-04-17,982.65
CT0000006,PR000010,C00025,33,2028-05-17,982.65
CT0000006,PR000010,C00025,34,2028-06-17,982.65
CT0000006,PR000010,C00025,35,2028-07-17,982.65
CT0000006,PR000010,C00025,36,2028-08-17,982.65
CT0000007,PR000011,C00001,1,2024-11-13,76.49
CT0000007,PR000011,C00001,2,2024-12-13,76.49
CT0000007,PR000011,C00001,3,2025-01-13,76.49
CT0000007,PR000011,C00001,4,2025-02-13,76.49
CT0000007,PR000011,C00001,5,2025-03-13,76.49
CT0000007,PR000011,C00001,6,2025-04-13,76.49
CT0000007,PR000011,C00001,7,2025-05-13,76.49
CT0000007,PR000011,C00001,8,2025-06-13,76.49
CT0000007,PR000011,C00001,9,2025-07-13,76.49
CT0000007,PR000011,C00001,10,2025-08-13,76.49
CT0000007,PR000011,C00001,11,2025-09-13,76.49
CT0000007,PR000011,C00001,12,2025-10-13,76.49
CT0000007,PR000011,C00001,13,2025-11-13,76.49
CT0000007,PR000011,C00001,14,2025-12-13,76.49
CT0000007,PR000011,C00001,15,2026-01-13,76.49
CT0000007,PR000011,C00001,16,2026-02-13,76.49
CT0000007,PR000011,C00001,17,2026-03-13,76.49
CT0000007,PR000011,C00001,18,2026-04-13,76.49
CT0000007,PR000011,C00001,19,2026-05-13,76.49
CT0000007,PR000011,C00001,20,2026-06-13,76.49
CT0000007,PR000011,C00001,21,2026-07-13,76.49
CT0000007,PR000011,C00001,22,2026-08-13,76.49
CT0000007,PR000011,C00001,23,2026-09-13,76.49
CT0000007,PR000011,C00001,24,2026-10-13,76.49
CT0000008,PR000013,C00191,1,2024-09-11,482.89
CT0000008,PR000013,C00191,2,2024-10-11,482.89
CT0000008,PR000013,C00191,3,2024-11-11,482.89
CT0000008,PR000013,C00191,4,2024-12-11,482.89
CT0000008,PR000013,C00191,5,2025-01-11,482.89
CT0000008,PR000013,C00191,6,2025-02-11,482.89
CT0000008,PR000013,C00191,7,2025-03-11,482.89
CT0000008,PR000013,C00191,8,2025-04-11,482.89
CT0000008,PR000013,C00191,9,2025-05-11,482.89
CT0000008,PR000013,C00191,10,2025-06-11,482.89
CT0000008,PR000013,C00191,11,2025-07-11,482.89
CT0000008,PR000013,C00191,12,2025-08-11,482.89
CT0000008,PR000013,C00191,13,2025-09-11,482.89
CT0000008,PR000013,C00191,14,2025-10-11,482.89
CT0000008,PR000013,C00191,15,2025-11-11,482.89
CT0000008,PR000013,C00191,16,2025-12-11,482.89
CT0000008,PR000013,C00191,17,2026-01-11,482.89
CT0000008,PR000013,C00191,18,2026-02-11,482.89
CT0000008,PR000013,C00191,19,2026-03-11,482.89
CT0000008,PR000013,C00191,20,2026-04-11,482.89
CT0000008,PR000013,C00191,21,2026-05-11,482.89
CT0000008,PR000013,C00191,22,2026-06-11,482.89
CT0000008,PR000013,C00191,23,2026-07-11,482.89
CT0000008,PR000013,C00191,24,2026-08-11,482.89
CT0000009,PR000015,C00024,1,2026-03-08,2036.38
CT0000009,PR000015,C00024,2,2026-04-08,2036.38
CT0000009,PR000015,C00024,3,2026-05-08,2036.38
CT0000009,PR000015,C00024,4,2026-06-08,2036.38
CT0000009,PR000015,C00024,5,2026-07-08,2036.38
CT0000009,PR000015,C00024,6,2026-08-08,2036.38
CT0000009,PR000015,C00024,7,2026-09-08,2036.38
CT0000009,PR000015,C00024,8,2026-10-08,2036.38
CT0000009,PR000015,C00024,9,2026-11-08,2036.38
CT0000009,PR000015,C00024,10,2026-12-08,2036.38
CT0000009,PR000015,C00024,11,2027-01-08,2036.38
CT0000009,PR000015,C00024,12,2027-02-08,2036.38
CT0000009,PR000015,C00024,13,2027-03-08,2036.38
CT0000009,PR000015,C00024,14,2027-04-08,2036.38
CT0000009,PR000015,C00024,15,2027-05-08,2036.38
CT0000009,PR000015,C00024,16,2027-06-08,2036.38
CT0000009,PR000015,C00024,17,2027-07-08,2036.38
CT0000009,PR000015,C00024,18,2027-08-08,2036.38
CT0000009,PR000015,C00024,19,2027-09-08,2036.38
CT0000009,PR000015,C00024,20,2027-10-08,2036.38
CT0000009,PR000015,C00024,21,2027-11-08,2036.38
CT0000009,PR000015,C00024,22,2027-12-08,2036.38
CT0000009,PR000015,C00024,23,2028-01-08,2036.38
CT0000009,PR000015,C00024,24,2028-02-08,2036.38
CT0000010,PR000020,C00226,1,2025-06-02,666.83
CT0000010,PR000020,C00226,2,2025-07-02,666.83
CT0000010,PR000020,C00226,3,2025-08-02,666.83
CT0000010,PR000020,C00226,4,2025-09-02,666.83
CT0000010,PR000020,C00226,5,2025-10-02,666.83
CT0000010,PR000020,C00226,6,2025-11-02,666.83
CT0000010,PR000020,C00226,7,2025-12-02,666.83
CT0000010,PR000020,C00226,8,2026-01-02,666.83
CT0000010,PR000020,C00226,9,2026-02-02,666.83
CT0000010,PR000020,C00226,10,2026-03-02,666.83
CT0000010,PR000020,C00226,11,2026-04-02,666.83
CT0000010,PR000020,C00226,12,2026-05-02,666.83
CT0000010,PR000020,C00226,13,2026-06-02,666.83
CT0000010,PR000020,C00226,14,2026-07-02,666.83
CT0000010,PR000020,C00226,15,2026-08-02,666.83
CT0000010,PR000020,C00226,16,2026-09-02,666.83
CT0000010,PR000020,C00226,17,2026-10-02,666.83
CT0000010,PR000020,C00226,18,2026-11-02,666.83
CT0000010,PR000020,C00226,19,2026-12-02,666.83
CT0000010,PR000020,C00226,20,2027-01-02,666.83
CT0000010,PR000020,C00226,21,2027-02-02,666.83
CT0000010,PR000020,C00226,22,2027-03-02,666.83
CT0000010,PR000020,C00226,23,2027-04-02,666.83
CT0000010,PR000020,C00226,24,2027-05-02,666.83
CT0000010,PR000020,C00226,25,2027-06-02,666.83
CT0000010,PR000020,C00226,26,2027-07-02,666.83
CT0000010,PR000020,C00226,27,2027-08-02,666.83
CT0000010,PR000020,C00226,28,2027-09-02,666.83
CT0000010,PR000020,C00226,29,2027-10-02,666.83
CT0000010,PR000020,C00226,30,2027-11-02,666.83
CT0000010,PR000020,C00226,31,2027-12-02,666.83
CT0000010,PR000020,C00226,32,2028-01-02,666.83
CT0000010,PR000020,C00226,33,2028-02-02,666.83
CT0000010,PR000020,C00226,34,2028-03-02,666.83
CT0000010,PR000020,C00226,35,2028-04-02,666.83
CT0000010,PR000020,C00226,36,2028-05-02,666.83
CT0000011,PR000023,C00115,1,2025-10-08,932.93
CT0000011,PR000023,C00115,2,2025-11-08,932.93
CT0000011,PR000023,C00115,3,2025-12-08,932.93
CT0000011,PR000023,C00115,4,2026-01-08,932.93
CT0000011,PR000023,C00115,5,2026-02-08,932.93
CT0000011,PR000023,C00115,6,2026-03-08,932.93
CT0000011,PR000023,C00115,7,2026-04-08,932.93
CT0000011,PR000023,C00115,8,2026-05-08,932.93
CT0000011,PR000023,C00115,9,2026-06-08,932.93
CT0000011,PR000023,C00115,10,2026-07-08,932.93
CT0000011,PR000023,C00115,11,2026-08-08,932.93
CT0000011,PR000023,C00115,12,2026-09-08,932.93
CT0000012,PR000027,C00008,1,2024-05-24,1555.68
CT0000012,PR000027,C00008,2,2024-06-24,1555.68
CT0000012,PR000027,C00008,3,2024-07-24,1555.68
CT0000012,PR000027,C00008,4,2024-08-24,1555.68
CT0000012,PR000027,C00008,5,2024-09-24,1555.68
CT0000012,PR000027,C00008,6,2024-10-24,1555.68
CT0000012,PR000027,C00008,7,2024-11-24,1555.68
CT0000012,PR000027,C00008,8,2024-12-24,1555.68
CT0000012,PR000027,C00008,9,2025-01-24,1555.68
CT0000012,PR000027,C00008,10,2025-02-24,1555.68
CT0000012,PR000027,C00008,11,2025-03-24,1555.68
CT0000012,PR000027,C00008,12,2025-04-24,1555.68
CT0000013,PR000028,C00154,1,2024-07-31,1196.13
CT0000013,PR000028,C00154,2,2024-08-31,1196.13
CT0000013,PR000028,C00154,3,2024-09-30,1196.13
CT0000013,PR000028,C00154,4,2024-10-31,1196.13
CT0000013,PR000028,C00154,5,2024-11-30,1196.13
CT0000013,PR000028,C00154,6,2024-12-31,1196.13
CT0000013,PR000028,C00154,7,2025-01-31,1196.13
CT0000013,PR000028,C00154,8,2025-02-28,1196.13
CT0000013,PR000028,C00154,9,2025-03-31,1196.13
CT0000013,PR000028,C00154,10,2025-04-30,1196.13
CT0000013,PR000028,C00154,11,2025-05-31,1196.13
CT0000013,PR000028,C00154,12,2025-06-30,1196.13
CT0000013,PR000028,C00154,13,2025-07-31,1196.13
CT0000013,PR000028,C00154,14,2025-08-31,1196.13
CT0000013,PR000028,C00154,15,2025-09-30,1196.13
CT0000013,PR000028,C00154,16,2025-10-31,1196.13
CT0000013,PR000028,C00154,17,2025-11-30,1196.13
CT0000013,PR000028,C00154,18,2025-12-31,1196.13
CT0000013,PR000028,C00154,19,2026-01-31,1196.13
CT0000013,PR000028,C00154,20,2026-02-28,1196.13
CT0000013,PR000028,C00154,21,2026-03-31,1196.13
CT0000013,PR000028,C00154,22,2026-04-30,1196.13
CT0000013,PR000028,C00154,23,2026-05-31,1196.13
CT0000013,PR000028,C00154,24,2026-06-30,1196.13
CT0000013,PR000028,C00154,25,2026-07-31,1196.13
CT0000013,PR000028,C00154,26,2026-08-31,1196.13
CT0000013,PR000028,C00154,27,2026-09-30,1196.13
CT0000013,PR000028,C00154,28,2026-10-31,1196.13
CT0000013,PR000028,C00154,29,2026-11-30,1196.13
CT0000013,PR000028,C00154,30,2026-12-31,1196.13
CT0000013,PR000028,C00154,31,2027-01-31,1196.13
CT0000013,PR000028,C00154,32,2027-02-28,1196.13
CT0000013,PR000028,C00154,33,2027-03-31,1196.13
CT0000013,PR000028,C00154,34,2027-04-30,1196.13
CT0000013,PR000028,C00154,35,2027-05-31,1196.13
CT0000013,PR000028,C00154,36,2027-06-30,1196.13
CT0000014,PR000029,C00162,1,2026-02-04,1518.34
CT0000014,PR000029,C00162,2,2026-03-04,1518.34
CT0000014,PR000029,C00162,3,2026-04-04,1518.34
CT0000014,PR000029,C00162,4,2026-05-04,1518.34
CT0000014,PR000029,C00162,5,2026-06-04,1518.34
CT0000014,PR000029,C00162,6,2026-07-04,1518.34
CT0000014,PR000029,C00162,7,2026-08-04,1518.34
CT0000014,PR000029,C00162,8,2026-09-04,1518.34
CT0000014,PR000029,C00162,9,2026-10-04,1518.34
CT0000014,PR000029,C00162,10,2026-11-04,1518.34
CT0000014,PR000029,C00162,11,2026-12-04,1518.34
CT0000014,PR000029,C00162,12,2027-01-04,1518.34
CT0000014,PR000029,C00162,13,2027-02-04,1518.34
CT0000014,PR000029,C00162,14,2027-03-04,1518.34
CT0000014,PR000029,C00162,15,2027-04-04,1518.34
CT0000014,PR000029,C00162,16,2027-05-04,1518.34
CT0000014,PR000029,C00162,17,2027-06-04,1518.34
CT0000014,PR000029,C00162,18,2027-07-04,1518.34
CT0000014,PR000029,C00162,19,2027-08-04,1518.34
CT0000014,PR000029,C00162,20,2027-09-04,1518.34
CT0000014,PR000029,C00162,21,2027-10-04,1518.34
CT0000014,PR000029,C00162,22,2027-11-04,1518.34
CT0000014,PR000029,C00162,23,2027-12-04,1518.34
CT0000014,PR000029,C00162,24,2028-01-04,1518.34
CT0000015,PR000032,C00260,1,2024-06-02,1852.66
CT0000015,PR000032,C00260,2,2024-07-02,1852.66
CT0000015,PR000032,C00260,3,2024-08-02,1852.66
CT0000015,PR000032,C00260,4,2024-09-02,1852.66
CT0000015,PR000032,C00260,5,2024-10-02,1852.66
CT0000015,PR000032,C00260,6,2024-11-02,1852.66
CT0000015,PR000032,C00260,7,2024-12-02,1852.66
CT0000015,PR000032,C00260,8,2025-01-02,1852.66
CT0000015,PR000032,C00260,9,2025-02-02,1852.66
CT0000015,PR000032,C00260,10,2025-03-02,1852.66
CT0000015,PR000032,C00260,11,2025-04-02,1852.66
CT0000015,PR000032,C00260,12,2025-05-02,1852.66
CT0000015,PR000032,C00260,13,2025-06-02,1852.66
CT0000015,PR000032,C00260,14,2025-07-02,1852.66
CT0000015,PR000032,C00260,15,2025-08-02,1852.66
CT0000015,PR000032,C00260,16,2025-09-02,1852.66
CT0000015,PR000032,C00260,17,2025-10-02,1852.66
CT0000015,PR000032,C00260,18,2025-11-02,1852.66
CT0000015,PR000032,C00260,19,2025-12-02,1852.66
CT0000015,PR000032,C00260,20,2026-01-02,1852.66
CT0000015,PR000032,C00260,21,2026-02-02,1852.66
CT0000015,PR000032,C00260,22,2026-03-02,1852.66
CT0000015,PR000032,C00260,23,2026-04-02,1852.66
CT0000015,PR000032,C00260,24,2026-05-02,1852.66
CT0000016,PR000035,C00416,1,2024-06-20,591.29
CT0000016,PR000035,C00416,2,2024-07-20,591.29
CT0000016,PR000035,C00416,3,2024-08-20,591.29
CT0000016,PR000035,C00416,4,2024-09-20,591.29
CT0000016,PR000035,C00416,5,2024-10-20,591.29
CT0000016,PR000035,C00416,6,2024-11-20,591.29
CT0000016,PR000035,C00416,7,2024-12-20,591.29
CT0000016,PR000035,C00416,8,2025-01-20,591.29
CT0000016,PR000035,C00416,9,2025-02-20,591.29
CT0000016,PR000035,C00416,10,2025-03-20,591.29
CT0000016,PR000035,C00416,11,2025-04-20,591.29
CT0000016,PR000035,C00416,12,2025-05-20,591.29
CT0000017,PR000036,C00383,1,2025-10-11,1410.59
CT0000017,PR000036,C00383,2,2025-11-11,1410.59
CT0000017,PR000036,C00383,3,2025-12-11,1410.59
CT0000017,PR000036,C00383,4,2026-01-11,1410.59
CT0000017,PR000036,C00383,5,2026-02-11,1410.59
CT0000017,PR000036,C00383,6,2026-03-11,1410.59
CT0000017,PR000036,C00383,7,2026-04-11,1410.59
CT0000017,PR000036,C00383,8,2026-05-11,1410.59
CT0000017,PR000036,C00383,9,2026-06-11,1410.59
CT0000017,PR000036,C00383,10,2026-07-11,1410.59
CT0000017,PR000036,C00383,11,2026-08-11,1410.59
CT0000017,PR000036,C00383,12,2026-09-11,1410.59
CT0000018,PR000037,C00457,1,2024-08-24,468.26
CT0000018,PR000037,C00457,2,2024-09-24,468.26
CT0000018,PR000037,C00457,3,2024-10-24,468.26
CT0000018,PR000037,C00457,4,2024-11-24,468.26
CT0000018,PR000037,C00457,5,2024-12-24,468.26
CT0000018,PR000037,C00457,6,2025-01-24,468.26
CT0000018,PR000037,C00457,7,2025-02-24,468.26
CT0000018,PR000037,C00457,8,2025-03-24,468.26
CT0000018,PR000037,C00457,9,2025-04-24,468.26
CT0000018,PR000037,C00457,10,2025-05-24,468.26
CT0000018,PR000037,C00457,11,2025-06-24,468.26
CT0000018,PR000037,C00457,12,2025-07-24,468.26
CT0000019,PR000039,C00307,1,2025-05-26,628.28
CT0000019,PR000039,C00307,2,2025-06-26,628.28
CT0000019,PR000039,C00307,3,2025-07-26,628.28
CT0000019,PR000039,C00307,4,2025-08-26,628.28
CT0000019,PR000039,C00307,5,2025-09-26,628.28
CT0000019,PR000039,C00307,6,2025-10-26,628.28
CT0000019,PR000039,C00307,7,2025-11-26,628.28
CT0000019,PR000039,C00307,8,2025-12-26,628.28
CT0000019,PR000039,C00307,9,2026-01-26,628.28
CT0000019,PR000039,C00307,10,2026-02-26,628.28
CT0000019,PR000039,C00307,11,2026-03-26,628.28
CT0000019,PR000039,C00307,12,2026-04-26,628.28
CT0000019,PR000039,C00307,13,2026-05-26,628.28
CT0000019,PR000039,C00307,14,2026-06-26,628.28
CT0000019,PR000039,C00307,15,2026-07-26,628.28
CT0000019,PR000039,C00307,16,2026-08-26,628.28
CT0000019,PR000039,C00307,17,2026-09-26,628.28
CT0000019,PR000039,C00307,18,2026-10-26,628.28
CT0000019,PR000039,C00307,19,2026-11-26,628.28
CT0000019,PR000039,C00307,20,2026-12-26,628.28
CT0000019,PR000039,C00307,21,2027-01-26,628.28
CT0000019,PR000039,C00307,22,2027-02-26,628.28
CT0000019,PR000039,C00307,23,2027-03-26,628.28
CT0000019,PR000039,C00307,24,2027-04-26,628.28
CT0000020,PR000040,C00325,1,2024-08-25,360.6
CT0000020,PR000040,C00325,2,2024-09-25,360.6
CT0000020,PR000040,C00325,3,2024-10-25,360.6
CT0000020,PR000040,C00325,4,2024-11-25,360.6
CT0000020,PR000040,C00325,5,2024-12-25,360.6
CT0000020,PR000040,C00325,6,2025-01-25,360.6
CT0000020,PR000040,C00325,7,2025-02-25,360.6
CT0000020,PR000040,C00325,8,2025-03-25,360.6
CT0000020,PR000040,C00325,9,2025-04-25,360.6
CT0000020,PR000040,C00325,10,2025-05-25,360.6
CT0000020,PR000040,C00325,11,2025-06-25,360.6
CT0000020,PR000040,C00325,12,2025-07-25,360.6
CT0000020,PR000040,C00325,13,2025-08-25,360.6
CT0000020,PR000040,C00325,14,2025-09-25,360.6
CT0000020,PR000040,C00325,15,2025-10-25,360.6
CT0000020,PR000040,C00325,16,2025-11-25,360.6
CT0000020,PR000040,C00325,17,2025-12-25,360.6
CT0000020,PR000040,C00325,18,2026-01-25,360.6
CT0000020,PR000040,C00325,19,2026-02-25,360.6
CT0000020,PR000040,C00325,20,2026-03-25,360.6
CT0000020,PR000040,C00325,21,2026-04-25,360.6
CT0000020,PR000040,C00325,22,2026-05-25,360.6
CT0000020,PR000040,C00325,23,2026-06-25,360.6
CT0000020,PR000040,C00325,24,2026-07-25,360.6
CT0000020,PR000040,C00325,25,2026-08-25,360.6
CT0000020,PR000040,C00325,26,2026-09-25,360.6
CT0000020,PR000040,C00325,27,2026-10-25,360.6
CT0000020,PR000040,C00325,28,2026-11-25,360.6
CT0000020,PR000040,C00325,29,2026-12-25,360.6
CT0000020,PR000040,C00325,30,2027-01-25,360.6
CT0000020,PR000040,C00325,31,2027-02-25,360.6
CT0000020,PR000040,C00325,32,2027-03-25,360.6
CT0000020,PR000040,C00325,33,2027-04-25,360.6
CT0000020,PR000040,C00325,34,2027-05-25,360.6
CT0000020,PR000040,C00325,35,2027-06-25,360.6
CT0000020,PR000040,C00325,36,2027-07-25,360.6
CT0000021,PR000041,C00039,1,2025-12-17,267.72
CT0000021,PR000041,C00039,2,2026-01-17,267.72
CT0000021,PR000041,C00039,3,2026-02-17,267.72
CT0000021,PR000041,C00039,4,2026-03-17,267.72
CT0000021,PR000041,C00039,5,2026-04-17,267.72
CT0000021,PR000041,C00039,6,2026-05-17,267.72
CT0000021,PR000041,C00039,7,2026-06-17,267.72
CT0000021,PR000041,C00039,8,2026-07-17,267.72
CT0000021,PR000041,C00039,9,2026-08-17,267.72
CT0000021,PR000041,C00039,10,2026-09-17,267.72
CT0000021,PR000041,C00039,11,2026-10-17,267.72
CT0000021,PR000041,C00039,12,2026-11-17,267.72
CT0000021,PR000041,C00039,13,2026-12-17,267.72
CT0000021,PR000041,C00039,14,2027-01-17,267.72
CT0000021,PR000041,C00039,15,2027-02-17,267.72
CT0000021,PR000041,C00039,16,2027-03-17,267.72
CT0000021,PR000041,C00039,17,2027-04-17,267.72
CT0000021,PR000041,C00039,18,2027-05-17,267.72
CT0000021,PR000041,C00039,19,2027-06-17,267.72
CT0000021,PR000041,C00039,20,2027-07-17,267.72
CT0000021,PR000041,C00039,21,2027-08-17,267.72
CT0000021,PR000041,C00039,22,2027-09-17,267.72
CT0000021,PR000041,C00039,23,2027-10-17,267.72
CT0000021,PR000041,C00039,24,2027-11-17,267.72
CT0000022,PR000042,C00305,1,2024-10-15,1108.77
CT0000022,PR000042,C00305,2,2024-11-15,1108.77
CT0000022,PR000042,C00305,3,2024-12-15,1108.77
CT0000022,PR000042,C00305,4,2025-01-15,1108.77
CT0000022,PR000042,C00305,5,2025-02-15,1108.77
CT0000022,PR000042,C00305,6,2025-03-15,1108.77
CT0000022,PR000042,C00305,7,2025-04-15,1108.77
CT0000022,PR000042,C00305,8,2025-05-15,1108.77
CT0000022,PR000042,C00305,9,2025-06-15,1108.77
CT0000022,PR000042,C00305,10,2025-07-15,1108.77
CT0000022,PR000042,C00305,11,2025-08-15,1108.77
