payment_id,contract_id,installment_number,payment_date,paid_amount,status
PM00000164,CT0000007,20,2026-06-13,76.49,paid
PM00000165,CT0000007,21,2026-07-13,76.49,paid
PM00000166,CT0000007,22,2026-08-13,76.49,paid
PM00000167,CT0000007,23,2026-09-13,76.49,paid
PM00000168,CT0000007,24,2026-10-13,76.49,paid
PM00000169,CT0000008,1,2024-09-11,482.89,paid
PM00000170,CT0000008,2,2024-10-11,482.89,paid
PM00000171,CT0000008,3,2024-11-11,482.89,paid
PM00000172,CT0000008,4,2024-12-11,482.89,paid
PM00000173,CT0000008,5,2025-01-11,482.89,paid
PM00000174,CT0000008,6,2025-02-11,482.89,paid
PM00000175,CT0000008,7,2025-03-11,482.89,paid
PM00000176,CT0000008,8,2025-04-11,482.89,paid
PM00000177,CT0000008,9,2025-05-11,482.89,paid
PM00000178,CT0000008,10,2025-06-11,482.89,paid
PM00000179,CT0000008,11,2025-07-11,482.89,paid
PM00000180,CT0000008,12,2025-08-11,482.89,paid
PM00000181,CT0000008,13,2025-09-11,482.89,paid
PM00000182,CT0000008,14,,0.0,missed
PM00000183,CT0000008,15,2025-11-11,482.89,paid
PM00000184,CT0000008,16,2025-12-11,482.89,paid
PM00000185,CT0000008,17,,0.0,missed
PM00000186,CT0000008,18,2026-02-11,482.89,paid
PM00000187,CT0000008,19,2026-03-11,482.89,paid
PM00000188,CT0000008,20,2026-04-11,482.89,paid
PM00000189,CT0000008,21,2026-05-11,482.89,paid
PM00000190,CT0000008,22,2026-06-11,482.89,paid
PM00000191,CT0000008,23,2026-07-11,482.89,paid
PM00000192,CT0000008,24,,0.0,missed
PM00000193,CT0000009,1,,0.0,missed
PM00000194,CT0000009,2,2026-04-08,2036.38,paid
PM00000195,CT0000009,3,2026-05-08,2036.38,paid
PM00000196,CT0000009,4,2026-06-08,2036.38,paid
PM00000197,CT0000009,5,,0.0,missed
PM00000198,CT0000009,6,2026-08-08,2036.38,paid
PM00000199,CT0000009,7,2026-09-08,2036.38,paid
PM00000200,CT0000009,8,2026-10-08,2036.38,paid
PM00000201,CT0000009,9,2026-11-08,2036.38,paid
PM00000202,CT0000009,10,,0.0,missed
PM00000203,CT0000009,11,2027-01-08,2036.38,paid
PM00000204,CT0000009,12,2027-02-08,2036.38,paid
PM00000205,CT0000009,13,2027-03-08,2036.38,paid
PM00000206,CT0000009,14,2027-04-08,2036.38,paid
PM00000207,CT0000009,15,2027-05-08,2036.38,paid
PM00000208,CT0000009,16,2027-06-08,2036.38,paid
PM00000209,CT0000009,17,2027-07-08,2036.38,paid
PM00000210,CT0000009,18,2027-08-08,2036.38,paid
PM00000211,CT0000009,19,2027-09-08,2036.38,paid
PM00000212,CT0000009,20,2027-10-08,2036.38,paid
PM00000213,CT0000009,21,2027-11-08,2036.38,paid
PM00000214,CT0000009,22,2027-12-08,2036.38,paid
PM00000215,CT0000009,23,2028-01-08,2036.38,paid
PM00000216,CT0000009,24,,0.0,missed
PM00000217,CT0000010,1,2025-06-02,666.83,paid
PM00000218,CT0000010,2,2025-07-02,666.83,paid
PM00000219,CT0000010,3,,0.0,missed
PM00000220,CT0000010,4,2025-09-02,666.83,paid
PM00000221,CT0000010,5,2025-10-02,666.83,paid
PM00000222,CT0000010,6,2025-11-02,666.83,paid
PM00000223,CT0000010,7,2025-12-02,666.83,paid
PM00000224,CT0000010,8,2026-01-02,666.83,paid
PM00000225,CT0000010,9,2026-02-02,666.83,paid
PM00000226,CT0000010,10,,0.0,missed
PM00000227,CT0000010,11,2026-04-02,666.83,paid
PM00000228,CT0000010,12,2026-05-02,666.83,paid
PM00000229,CT0000010,13,2026-06-02,666.83,paid
PM00000230,CT0000010,14,2026-07-02,666.83,paid
PM00000231,CT0000010,15,,0.0,missed
PM00000232,CT0000010,16,2026-09-02,666.83,paid
PM00000233,CT0000010,17,2026-10-02,666.83,paid
PM00000234,CT0000010,18,2026-11-02,666.83,paid
PM00000235,CT0000010,19,2026-12-02,666.83,paid
PM00000236,CT0000010,20,2027-01-02,666.83,paid
PM00000237,CT0000010,21,2027-02-02,666.83,paid
PM00000238,CT0000010,22,2027-03-02,666.83,paid
PM00000239,CT0000010,23,2027-04-02,666.83,paid
PM00000240,CT0000010,24,2027-05-02,666.83,paid
PM00000241,CT0000010,25,2027-06-02,666.83,paid
PM00000242,CT0000010,26,2027-07-02,666.83,paid
PM00000243,CT0000010,27,2027-08-02,666.83,paid
PM00000244,CT0000010,28,2027-09-02,666.83,paid
PM00000245,CT0000010,29,2027-10-02,666.83,paid
PM00000246,CT0000010,30,2027-11-02,666.83,paid
PM00000247,CT0000010,31,,0.0,missed
PM00000248,CT0000010,32,2028-01-02,666.83,paid
PM00000249,CT0000010,33,2028-02-02,666.83,paid
PM00000250,CT0000010,34,2028-03-02,666.83,paid
PM00000251,CT0000010,35,2028-04-02,666.83,paid
PM00000252,CT0000010,36,2028-05-02,666.83,paid
PM00000253,CT0000011,1,,0.0,missed
PM00000254,CT0000011,2,2025-11-08,932.93,paid
PM00000255,CT0000011,3,2025-12-08,932.93,paid
PM00000256,CT0000011,4,,0.0,missed
PM00000257,CT0000011,5,,0.0,missed
PM00000258,CT0000011,6,2026-03-08,932.93,paid
PM00000259,CT0000011,7,2026-04-08,932.93,paid
PM00000260,CT0000011,8,2026-05-08,932.93,paid
PM00000261,CT0000011,9,2026-06-08,932.93,paid
PM00000262,CT0000011,10,2026-07-08,932.93,paid
PM00000263,CT0000011,11,2026-08-08,932.93,paid
PM00000264,CT0000011,12,,0.0,missed
PM00000265,CT0000012,1,2024-05-24,1555.68,paid
PM00000266,CT0000012,2,2024-06-24,1555.68,paid
PM00000267,CT0000012,3,2024-07-24,1555.68,paid
PM00000268,CT0000012,4,2024-08-24,1555.68,paid
PM00000269,CT0000012,5,2024-09-24,1555.68,paid
PM00000270,CT0000012,6,2024-10-24,1555.68,paid
PM00000271,CT0000012,7,2024-11-24,1555.68,paid
PM00000272,CT0000012,8,,0.0,missed
PM00000273,CT0000012,9,2025-01-24,1555.68,paid
PM00000274,CT0000012,10,2025-02-24,1555.68,paid
PM00000275,CT0000012,11,2025-03-24,1555.68,paid
PM00000276,CT0000012,12,2025-04-24,1555.68,paid
PM00000277,CT0000013,1,2024-07-31,1196.13,paid
PM00000278,CT0000013,2,2024-08-31,1196.13,paid
PM00000279,CT0000013,3,2024-09-30,1196.13,paid
PM00000280,CT0000013,4,2024-10-31,1196.13,paid
PM00000281,CT0000013,5,2024-11-30,1196.13,paid
PM00000282,CT0000013,6,2024-12-31,1196.13,paid
PM00000283,CT0000013,7,2025-01-31,1196.13,paid
PM00000284,CT0000013,8,,0.0,missed
PM00000285,CT0000013,9,2025-03-31,1196.13,paid
PM00000286,CT0000013,10,2025-04-30,1196.13,paid
PM00000287,CT0000013,11,2025-05-31,1196.13,paid
PM00000288,CT0000013,12,2025-06-30,1196.13,paid
PM00000289,CT0000013,13,2025-07-31,1196.13,paid
PM00000290,CT0000013,14,2025-08-31,1196.13,paid
PM00000291,CT0000013,15,2025-09-30,1196.13,paid
PM00000292,CT0000013,16,2025-10-31,1196.13,paid
PM00000293,CT0000013,17,2025-11-30,1196.13,paid
PM00000294,CT0000013,18,,0.0,missed
PM00000295,CT0000013,19,2026-01-31,1196.13,paid
PM00000296,CT0000013,20,2026-02-28,1196.13,paid
PM00000297,CT0000013,21,2026-03-31,1196.13,paid
PM00000298,CT0000013,22,2026-04-30,1196.13,paid
PM00000299,CT0000013,23,,0.0,missed
PM00000300,CT0000013,24,2026-06-30,1196.13,paid
PM00000301,CT0000013,25,,0.0,missed
PM00000302,CT0000013,26,2026-08-31,1196.13,paid
PM00000303,CT0000013,27,,0.0,missed
PM00000304,CT0000013,28,2026-10-31,1196.13,paid
PM00000305,CT0000013,29,2026-11-30,1196.13,paid
PM00000306,CT0000013,30,2026-12-31,1196.13,paid
PM00000307,CT0000013,31,2027-01-31,1196.13,paid
PM00000308,CT0000013,32,2027-02-28,1196.13,paid
PM00000309,CT0000013,33,2027-03-31,1196.13,paid
PM00000310,CT0000013,34,2027-04-30,1196.13,paid
PM00000311,CT0000013,35,2027-05-31,1196.13,paid
PM00000312,CT0000013,36,2027-06-30,1196.13,paid
PM00000313,CT0000014,1,2026-02-04,1518.34,paid
PM00000314,CT0000014,2,2026-03-04,1518.34,paid
PM00000315,CT0000014,3,2026-04-04,1518.34,paid
PM00000316,CT0000014,4,2026-05-04,1518.34,paid
PM00000317,CT0000014,5,2026-06-04,1518.34,paid
PM00000318,CT0000014,6,2026-07-04,1518.34,paid
PM00000319,CT0000014,7,2026-08-04,1518.34,paid
PM00000320,CT0000014,8,2026-09-04,1518.34,paid
PM00000321,CT0000014,9,2026-10-04,1518.34,paid
PM00000322,CT0000014,10,2026-11-04,1518.34,paid
PM00000323,CT0000014,11,2026-12-04,1518.34,paid
PM00000324,CT0000014,12,2027-01-04,1518.34,paid
PM00000325,CT0000014,13,2027-02-04,1518.34,paid
PM00000326,CT0000014,14,2027-03-04,1518.34,paid
PM00000327,CT0000014,15,2027-04-04,1518.34,paid
PM00000328,CT0000014,16,2027-05-04,1518.34,paid
PM00000329,CT0000014,17,2027-06-04,1518.34,paid
PM00000330,CT0000014,18,2027-07-04,1518.34,paid
PM00000331,CT0000014,19,2027-08-04,1518.34,paid
PM00000332,CT0000014,20,2027-09-04,1518.34,paid
PM00000333,CT0000014,21,2027-10-04,1518.34,paid
PM00000334,CT0000014,22,2027-11-04,1518.34,paid
PM00000335,CT0000014,23,2027-12-04,1518.34,paid
PM00000336,CT0000014,24,2028-01-04,1518.34,paid
PM00000337,CT0000015,1,2024-06-02,1852.66,paid
PM00000338,CT0000015,2,2024-07-02,1852.66,paid
PM00000339,CT0000015,3,2024-08-02,1852.66,paid
PM00000340,CT0000015,4,2024-09-02,1852.66,paid
PM00000341,CT0000015,5,2024-10-02,1852.66,paid
PM00000342,CT0000015,6,2024-11-02,1852.66,paid
PM00000343,CT0000015,7,2024-12-02,1852.66,paid
PM00000344,CT0000015,8,2025-01-02,1852.66,paid
PM00000345,CT0000015,9,2025-02-02,1852.66,paid
PM00000346,CT0000015,10,2025-03-02,1852.66,paid
PM00000347,CT0000015,11,2025-04-02,1852.66,paid
PM00000348,CT0000015,12,2025-05-02,1852.66,paid
PM00000349,CT0000015,13,2025-06-02,1852.66,paid
PM00000350,CT0000015,14,2025-07-02,1852.66,paid
PM00000351,CT0000015,15,2025-08-02,1852.66,paid
PM00000352,CT0000015,16,2025-09-02,1852.66,paid
PM00000353,CT0000015,17,2025-10-02,1852.66,paid
PM00000354,CT0000015,18,2025-11-02,1852.66,paid
PM00000355,CT0000015,19,2025-12-02,1852.66,paid
PM00000356,CT0000015,20,,0.0,missed
PM00000357,CT0000015,21,2026-02-02,1852.66,paid
PM00000358,CT0000015,22,2026-03-02,1852.66,paid
PM00000359,CT0000015,23,2026-04-02,1852.66,paid
PM00000360,CT0000015,24,2026-05-02,1852.66,paid
PM00000361,CT0000016,1,2024-06-20,591.29,paid
PM00000362,CT0000016,2,2024-07-20,591.29,paid
PM00000363,CT0000016,3,2024-08-20,591.29,paid
PM00000364,CT0000016,4,2024-09-20,591.29,paid
PM00000365,CT0000016,5,2024-10-20,591.29,paid
PM00000366,CT0000016,6,2024-11-20,591.29,paid
PM00000367,CT0000016,7,,0.0,missed
PM00000368,CT0000016,8,2025-01-20,591.29,paid
PM00000369,CT0000016,9,2025-02-20,591.29,paid
PM00000370,CT0000016,10,2025-03-20,591.29,paid
PM00000371,CT0000016,11,2025-04-20,591.29,paid
PM00000372,CT0000016,12,2025-05-20,591.29,paid
PM00000373,CT0000017,1,2025-10-11,1410.59,paid
PM00000374,CT0000017,2,2025-11-11,1410.59,paid
PM00000375,CT0000017,3,2025-12-11,1410.59,paid
PM00000376,CT0000017,4,,0.0,missed
PM00000377,CT0000017,5,2026-02-11,1410.59,paid
PM00000378,CT0000017,6,2026-03-11,1410.59,paid
PM00000379,CT0000017,7,,0.0,missed
PM00000380,CT0000017,8,2026-05-11,1410.59,paid
PM00000381,CT0000017,9,2026-06-11,1410.59,paid
PM00000382,CT0000017,10,2026-07-11,1410.59,paid
PM00000383,CT0000017,11,2026-08-11,1410.59,paid
PM00000384,CT0000017,12,2026-09-11,1410.59,paid
PM00000385,CT0000018,1,2024-08-24,468.26,paid
PM00000386,CT0000018,2,2024-09-24,468.26,paid
PM00000387,CT0000018,3,2024-10-24,468.26,paid
PM00000388,CT0000018,4,2024-11-24,468.26,paid
PM00000389,CT0000018,5,2024-12-24,468.26,paid
PM00000390,CT0000018,6,2025-01-24,468.26,paid
PM00000391,CT0000018,7,2025-02-24,468.26,paid
PM00000392,CT0000018,8,2025-03-24,468.26,paid
PM00000393,CT0000018,9,2025-04-24,468.26,paid
PM00000394,CT0000018,10,,0.0,missed
PM00000395,CT0000018,11,2025-06-24,468.26,paid
PM00000396,CT0000018,12,2025-07-24,468.26,paid
PM00000397,CT0000019,1,2025-05-26,628.28,paid
PM00000398,CT0000019,2,2025-06-26,628.28,paid
PM00000399,CT0000019,3,2025-07-26,628.28,paid
PM00000400,CT0000019,4,2025-08-26,628.28,paid
PM00000401,CT0000019,5,2025-09-26,628.28,paid
PM00000402,CT0000019,6,2025-10-26,628.28,paid
PM00000403,CT0000019,7,2025-11-26,628.28,paid
PM00000404,CT0000019,8,2025-12-26,628.28,paid
PM00000405,CT0000019,9,2026-01-26,628.28,paid
PM00000406,CT0000019,10,2026-02-26,628.28,paid
PM00000407,CT0000019,11,2026-03-26,628.28,paid
PM00000408,CT0000019,12,2026-04-26,628.28,paid
PM00000409,CT0000019,13,2026-05-26,628.28,paid
PM00000410,CT0000019,14,2026-06-26,628.28,paid
PM00000411,CT0000019,15,2026-07-26,628.28,paid
PM00000412,CT0000019,16,2026-08-26,628.28,paid
PM00000413,CT0000019,17,2026-09-26,628.28,paid
PM00000414,CT0000019,18,2026-10-26,628.28,paid
PM00000415,CT0000019,19,2026-11-26,628.28,paid
PM00000416,CT0000019,20,2026-12-26,628.28,paid
PM00000417,CT0000019,21,,0.0,missed
PM00000418,CT0000019,22,2027-02-26,628.28,paid
PM00000419,CT0000019,23,2027-03-26,628.28,paid
PM00000420,CT0000019,24,2027-04-26,628.28,paid
PM00000421,CT0000020,1,2024-08-25,360.6,paid
PM00000422,CT0000020,2,2024-09-25,360.6,paid
PM00000423,CT0000020,3,2024-10-25,360.6,paid
PM00000424,CT0000020,4,2024-11-25,360.6,paid
PM00000425,CT0000020,5,2024-12-25,360.6,paid
PM00000426,CT0000020,6,2025-01-25,360.6,paid
PM00000427,CT0000020,7,2025-02-25,360.6,paid
PM00000428,CT0000020,8,,0.0,missed
PM00000429,CT0000020,9,2025-04-25,360.6,paid
PM00000430,CT0000020,10,2025-05-25,360.6,paid
PM00000431,CT0000020,11,2025-06-25,360.6,paid
PM00000432,CT0000020,12,2025-07-25,360.6,paid
PM00000433,CT0000020,13,2025-08-25,360.6,paid
PM00000434,CT0000020,14,2025-09-25,360.6,paid
PM00000435,CT0000020,15,2025-10-25,360.6,paid
PM00000436,CT0000020,16,2025-11-25,360.6,paid
PM00000437,CT0000020,17,2025-12-25,360.6,paid
PM00000438,CT0000020,18,2026-01-25,360.6,paid
PM00000439,CT0000020,19,2026-02-25,360.6,paid
PM00000440,CT0000020,20,,0.0,missed
PM00000441,CT0000020,21,2026-04-25,360.6,paid
PM00000442,CT0000020,22,2026-05-25,360.6,paid
PM00000443,CT0000020,23,2026-06-25,360.6,paid
PM00000444,CT0000020,24,2026-07-25,360.6,paid
PM00000445,CT0000020,25,2026-08-25,360.6,paid
PM00000446,CT0000020,26,2026-09-25,360.6,paid
PM00000447,CT0000020,27,2026-10-25,360.6,paid
PM00000448,CT0000020,28,2026-11-25,360.6,paid
PM00000449,CT0000020,29,2026-12-25,360.6,paid
PM00000450,CT0000020,30,2027-01-25,360.6,paid
PM00000451,CT0000020,31,2027-02-25,360.6,paid
PM00000452,CT0000020,32,2027-03-25,360.6,paid
PM00000453,CT0000020,33,2027-04-25,360.6,paid
PM00000454,CT0000020,34,2027-05-25,360.6,paid
PM00000455,CT0000020,35,2027-06-25,360.6,paid
PM00000456,CT0000020,36,2027-07-25,360.6,paid
PM00000457,CT0000021,1,2025-12-17,267.72,paid
PM00000458,CT0000021,2,2026-01-17,267.72,paid
PM00000459,CT0000021,3,2026-02-17,267.72,paid
PM00000460,CT0000021,4,2026-03-17,267.72,paid
PM00000461,CT0000021,5,2026-04-17,267.72,paid
PM00000462,CT0000021,6,2026-05-17,267.72,paid
PM00000463,CT0000021,7,2026-06-17,267.72,paid
PM00000464,CT0000021,8,2026-07-17,267.72,paid
PM00000465,CT0000021,9,2026-08-17,267.72,paid
PM00000466,CT0000021,10,2026-09-17,267.72,paid
PM00000467,CT0000021,11,,0.0,missed
PM00000468,CT0000021,12,,0.0,missed
PM00000469,CT0000021,13,2026-12-17,267.72,paid
PM00000470,CT0000021,14,2027-01-17,267.72,paid
PM00000471,CT0000021,15,2027-02-17,267.72,paid
PM00000472,CT0000021,16,2027-03-17,267.72,paid
PM00000473,CT0000021,17,2027-04-17,267.72,paid
PM00000474,CT0000021,18,2027-05-17,267.72,paid
PM00000475,CT0000021,19,2027-06-17,267.72,paid
PM00000476,CT0000021,20,2027-07-17,267.72,paid
PM00000477,CT0000021,21,2027-08-17,267.72,paid
PM00000478,CT0000021,22,2027-09-17,267.72,paid
PM00000479,CT0000021,23,2027-10-17,267.72,paid
PM00000480,CT0000021,24,2027-11-17,267.72,paid
PM00000481,CT0000022,1,2024-10-15,1108.77,paid
PM00000482,CT0000022,2,2024-11-15,1108.77,paid
PM00000483,CT0000022,3,2024-12-15,1108.77,paid
PM00000484,CT0000022,4,2025-01-15,1108.77,paid
PM00000485,CT0000022,5,2025-02-15,1108.77,paid
PM00000486,CT0000022,6,2025-03-15,1108.77,paid
PM00000487,CT0000022,7,2025-04-15,1108.77,paid
PM00000488,CT0000022,8,2025-05-15,1108.77,paid
PM00000489,CT0000022,9,2025-06-15,1108.77,paid
PM00000490,CT0000022,10,2025-07-15,1108.77,paid
PM00000491,CT0000022,11,2025-08-15,1108.77,paid
PM00000492,CT0000022,12,2025-09-15,1108.77,paid
PM00000493,CT0000022,13,2025-10-15,1108.77,paid
PM00000494,CT0000022,14,2025-11-15,1108.77,paid
PM00000495,CT0000022,15,2025-12-15,1108.77,paid
PM00000496,CT0000022,16,2026-01-15,1108.77,paid
PM00000497,CT0000022,17,2026-02-15,1108.77,paid
PM00000498,CT0000022,18,2026-03-15,1108.77,paid
PM00000499,CT0000022,19,2026-04-15,1108.77,paid
PM00000500,CT0000022,20,2026-05-15,1108.77,paid
